NOMBRE_IES,TIPO_IES,TIPO_FINANCIAMIENTO,NOMBRE_CARRERA,CAMPO_AMPLIO,NIVEL_FORMACIÓN,MODALIDAD,PROVINCIA,CANTÓN,ESTADO,CAMPO_AMPLIO_NORMALIZADO,ES_PREGRADO,CANTON_KEY,PROVINCIA_KEY
UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,PSICOLOGIA CLINICA,"CIENCIAS SOCIALES, EDUCACION COMERCIAL Y DERECHO",TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,VIGENTE,"Ciencias Sociales, Periodismo e Información",True,QUITO,PICHINCHA
UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,PSICOLOGIA INFANTIL Y PSICORREHABILITACION,"CIENCIAS SOCIALES, EDUCACION COMERCIAL Y DERECHO",TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,VIGENTE,"Ciencias Sociales, Periodismo e Información",True,QUITO,PICHINCHA
UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,PSICOLOGIA EDUCATIVA,"CIENCIAS SOCIALES, EDUCACION COMERCIAL Y DERECHO",TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,VIGENTE,"Ciencias Sociales, Periodismo e Información",True,QUITO,PICHINCHA
UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ODONTOLOGIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,VIGENTE,Salud y Bienestar,True,QUITO,PICHINCHA
UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,PLURILINGUE,EDUCACION,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,VIGENTE,Educación,True,QUITO,PICHINCHA
UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,MEDICINA VETERINARIA Y ZOOTECNIA,AGRICULTURA,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,VIGENTE,"Agricultura, Silvicultura, Pesca y Veterinaria",True,QUITO,PICHINCHA
UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,LICENCIATURA EN GOBERNABILIDAD Y TERRITORIALIDAD EN ORGANISMOS SECCIONALES,"CIENCIAS SOCIALES, EDUCACION COMERCIAL Y DERECHO",TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,VIGENTE,"Ciencias Sociales, Periodismo e Información",True,QUITO,PICHINCHA
UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,LICENCIATURA EN ASISTENCIA EJECUTIVA DE GERENCIA,"CIENCIAS SOCIALES, EDUCACION COMERCIAL Y DERECHO",TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,VIGENTE,"Ciencias Sociales, Periodismo e Información",True,QUITO,PICHINCHA
UNIVERSIDAD DE GUAYAQUIL,UNIVERSIDAD,PÚBLICA,PSICOLOGIA,"CIENCIAS SOCIALES, EDUCACION COMERCIAL Y DERECHO",TERCER NIVEL O PREGRADO,PRESENCIAL,GUAYAS,GUAYAQUIL,VIGENTE,"Ciencias Sociales, Periodismo e Información",True,GUAYAQUIL,GUAYAS
UNIVERSIDAD DE GUAYAQUIL,UNIVERSIDAD,PÚBLICA,DIETETICA Y NUTRICION,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,GUAYAS,GUAYAQUIL,VIGENTE,Salud y Bienestar,True,GUAYAQUIL,GUAYAS
