nombre|lat|lon
San Lorenzo|0.98506345|-78.6869332946931
Eloy Alfaro|0.874044|-78.9950332281882
Rioverde|1.0247745|-79.4326189854836
Esmeraldas|0.7343619|-79.3858867
Muisne|0.53872465|-79.8819717523788
Atacames|0.79710855|-79.8790840742983
Quinindé|0.328723|-79.4726416
Tulcán|0.8119288|-77.7171076
Mira|0.71702875|-78.1917880300142
Espejo|0.713927|-77.96622643662
Montúfar|0.56843345|-77.8087822387136
San Pedro de Huaca|0.62336305|-77.7206361688019
Bolívar (Carchi)|0.472635|-77.9358505135391
Ibarra|0.3478421|-78.1173588
San Miguel de Urcuquí|0.5777228|-78.3349090109371
Cotacachi|0.3955234|-78.4507013183269
Antonio Ante|0.3316022|-78.219615
Otavalo|0.22276365|-78.2454274435196
Pimampiro|0.3924612|-77.9402957
Sucumbíos|-0.039138|-76.5119678
Gonzalo Pizarro|0.1116857|-77.6398817070101
Cascales|-2.2345295|-79.9101118
Lago Agrio|0.12658025|-76.7576221148817
Putumayo|0.13399195|-76.1307912006416
Cuyabeno|-0.2655114|-75.8920692
Shushufindi|-0.2886094|-76.5906631604309
Pedernales|0.0689604|-79.8522466475605
Chone|-0.38663675|-80.0522680333819
Flavio Alfaro|-0.32428605|-79.8445363628985
El Carmen|-2.1806779|-79.8789297
Jama|-0.2149489|-80.2295833686682
San Vicente|-0.4373946|-80.376140850306
Sucre|-0.7264261|-80.4161951263733
Tosagua|-0.77290475|-80.2556583356452
Rocafuerte|-0.8990136|-80.4036370947811
Junín|-0.9261304|-80.2055648
Bolívar (Manabí)|-0.9292034|-80.0194710496605
Pichincha|-0.0584893|-78.3284371
Portoviejo|-1.0528066|-80.4534269
Jaramijó|-0.9739097|-80.6020847675854
Manta|-1.0321775|-80.8222166660983
Montecristi|-1.0503675|-80.6608104
Santa Ana|-1.1950113|-80.2648184045925
Jipijapa|-1.5158193|-80.6124982491711
Veinticuatro de Mayo|-1.3842713|-80.3391512292811
Olmedo (Manabí)|-1.3950973|-80.2116429
Puerto López|-1.5440814|-80.7445239577186
Paján|-1.70407915|-80.4212974804798
La Concordia|1.0216116|-79.0231981
Santo Domingo|-0.25105|-79.063278
Puerto Quito|0.1608869|-79.226730350178
Pedro Vicente Maldonado|0.0864955|-79.052577
